,Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,cleaned_review
395,395,2018-06-24 06:06:09,,"Changing from old to new interface, supposedly for mobile devices, has been horrible.  So little is shown on the screen for my laptop that I am continually scrolling, especially in bill pay.  I’m able to pull up the old interface every day with several clicks, but in changing functionality, it often flips over to the new interface and I have to do it again.  This is as poor as windows vista where, eg I had to go through 4 levels to shut of my laptop, or windows 10 where you can’t find a thing and have type in the search line to find most things.  
What moron approved this?",5,False,please change se,Crappy interface,"changing from old to new interface supposedly for mobile devices has been horrible  so little is shown on the screen for my laptop that i am continually scrolling especially in bill pay  im able to pull up the old interface every day with several clicks but in changing functionality it often flips over to the new interface and i have to do it again  this is as poor as windows vista where eg i had to go through 4 levels to shut of my laptop or windows 10 where you cant find a thing and have type in the search line to find most things  
what moron approved this"
396,396,2019-02-02 22:04:08,,"The app is useful for keeping tabs on my balance and transfers between my own accounts. However I have yet to be able to use the Zelle thing to transfer between family members accounts (we are all registered with this service). I cannot send and if I'm receiving it ends up ""unable to deposit to your account"" and refunded to the sender. Also, I can't seem to get WF to show my debit card as being available to ""manage travel plans.""  This was supposed to be fixed after the huge moving debacle this past fall (freezing our accounts when we tried to buy gas....). I understand and appreciate security but THIS is why I need to be able to ""manage travel plans"" without a long wait on the phone!!  Getting very frustrated with this app.",3,False,PippinFur,Meh,the app is useful for keeping tabs on my balance and transfers between my own accounts however i have yet to be able to use the zelle thing to transfer between family members accounts we are all registered with this service i cannot send and if im receiving it ends up unable to deposit to your account and refunded to the sender also i cant seem to get wf to show my debit card as being available to manage travel plans  this was supposed to be fixed after the huge moving debacle this past fall freezing our accounts when we tried to buy gas i understand and appreciate security but this is why i need to be able to manage travel plans without a long wait on the phone  getting very frustrated with this app
398,398,2018-02-04 16:35:51,,"I do not typically write reviews but this app has just been terrible. Apps are suppose to make life easier but this app makes me want to rip my hair out every single time I use it. First, it just would not let me set up quick pay so by the time I was able to when I tried to put in some contacts I hit the wrong number, but no worries because I caught it and wanted to edit or delete it. Now, this is an option on the app but of course it was “temporarily unavailable” just like literally everything else on the app. If you want to ever do anything on the app you have to go into a branch store because this app is the suckiest app I have ever used. You would think with all the money they scammed out of their customers they would have a bit to pay the tech guys to have at the least a few key working services on the app but nope not Wells Fargo Bank.",1,False,Castro000,Gitchy; Services never work,i do not typically write reviews but this app has just been terrible apps are suppose to make life easier but this app makes me want to rip my hair out every single time i use it first it just would not let me set up quick pay so by the time i was able to when i tried to put in some contacts i hit the wrong number but no worries because i caught it and wanted to edit or delete it now this is an option on the app but of course it was temporarily unavailable just like literally everything else on the app if you want to ever do anything on the app you have to go into a branch store because this app is the suckiest app i have ever used you would think with all the money they scammed out of their customers they would have a bit to pay the tech guys to have at the least a few key working services on the app but nope not wells fargo bank
399,399,2021-10-23 01:01:39,"{'id': 25883880, 'body': ""We'd like to help. To determine what may be occurring with your Bill Pay, please contact technical support at 1-800-956-4442, so they can look into this or provide more details (phone\r number, link to this public comment and your reviewer name) at\n\nappstorefeedback@wellsfargo.com for further assistance. -Yosari"", 'modified': '2021-10-25T15:47:13Z'}","Hard to use online bill pay. Intrusive customer service. Hard to edit on BillPay page the company info after first time setup, so when next yr who I’m paying has raised monthly bill will get corrected amount. Unlike other banks, no text automatically sending me amount I have in my checking account when I use my bank Debit/credit card for general use in shops. Not sent weekly either. Then have to get past intrusive ad when I go online to my account. NO I do not want to borrow money! And PLEASE STOP telling your tellers to make small talk—no, I don’t want to “chat” about upcoming holidays or the weather or anything beyond my money business! Wells Fargo is a business; Wells Fargo is not my “friend” and I do not go to the teller window to chat.",2,False,Ingeborg Ninja,Needs better programmers,hard to use online bill pay intrusive customer service hard to edit on billpay page the company info after first time setup so when next yr who im paying has raised monthly bill will get corrected amount unlike other banks no text automatically sending me amount i have in my checking account when i use my bank debitcredit card for general use in shops not sent weekly either then have to get past intrusive ad when i go online to my account no i do not want to borrow money and please stop telling your tellers to make small talkno i dont want to chat about upcoming holidays or the weather or anything beyond my money business wells fargo is a business wells fargo is not my friend and i do not go to the teller window to chat
401,401,2024-01-16 21:10:06,,"I am very happy with the app, never had complains at all. I cannot even remember a bug to be fixed maybe if there was at all, it must gave been rare or too small to even remember. The only thing I required extra support was related to my bank statement views or download. I think that there is a limit if 1-1.5 years in the database. However, when I call, I instantly receive via email how ever many months of old statements need. Wells Fargo has super excellent customer service Thank you and I hope that customers will continue to be a focus in the organizational goals of WFB",5,False,elvinoc,WFB has a Great app,i am very happy with the app never had complains at all i cannot even remember a bug to be fixed maybe if there was at all it must gave been rare or too small to even remember the only thing i required extra support was related to my bank statement views or download i think that there is a limit if 115 years in the database however when i call i instantly receive via email how ever many months of old statements need wells fargo has super excellent customer service thank you and i hope that customers will continue to be a focus in the organizational goals of wfb
404,404,2022-10-25 15:54:23,"{'id': 32822475, 'body': 'Hi there, thanks for providing this feedback. We will be sure to share it with the Mobile team as they do appreciate insight on your mobile experience. If you have additional questions or feedback, please call us at 1-800-869-3557. Thanks again. –Becky', 'modified': '2022-10-27T15:05:03Z'}",Hi there i cant find the support to contact you about the sign in button. I am having problems with that once in a while every time when i am done as to sign out then that sign on button appears on right bottom of my iphone  when i want to close this app to go other app but it kept hit the sign on button because it is too close to that button (“close the app”). I suggest that the sign in button should move up little bit far from that “close this app” button to avoid hit the login in.  Hope you understand what I’m talking about. Thanks,5,False,317jp,Sign on button,hi there i cant find the support to contact you about the sign in button i am having problems with that once in a while every time when i am done as to sign out then that sign on button appears on right bottom of my iphone  when i want to close this app to go other app but it kept hit the sign on button because it is too close to that button close the app i suggest that the sign in button should move up little bit far from that close this app button to avoid hit the login in  hope you understand what im talking about thanks
405,405,2023-03-21 06:49:59,"{'id': 35524311, 'body': ""We're sorry to hear that and want to look further into this. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Hanj\n"", 'modified': '2023-03-22T11:47:15Z'}",About once a week the mobile app is down completely for system updates and upgrades but there is no improvement in features or functionality. None of the problems are new but have been ongoing for over a year or more. The worst is the mobile deposits unable to read the commercial checks. It will keep on asking to take another picture of the front and back but will not let me complete the deposit. Second worst is the Zelle feature that crashes the app or returns to the previous page. It’s another glitch that has never been corrected. Another problem is the limited data that can be retrieved.  Most search and data retrieval is limited to the past 16-18months but that means we cannot search last years 1 q if we are in 3q.,1,False,Awong of spas,Works about half of the time,about once a week the mobile app is down completely for system updates and upgrades but there is no improvement in features or functionality none of the problems are new but have been ongoing for over a year or more the worst is the mobile deposits unable to read the commercial checks it will keep on asking to take another picture of the front and back but will not let me complete the deposit second worst is the zelle feature that crashes the app or returns to the previous page its another glitch that has never been corrected another problem is the limited data that can be retrieved  most search and data retrieval is limited to the past 1618months but that means we cannot search last years 1 q if we are in 3q
407,407,2022-12-31 00:15:50,"{'id': 34068544, 'body': ""We're sorry to hear that and would like to try and help. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Tania"", 'modified': '2023-01-03T15:03:55Z'}",I only give a second star because you finally began providing data that should have been available in previous apps for years. This version of the app is ridiculously confusing to navigate. Was a simple app to use and pay. Now is a text and ad (for you own un desired products and services) heavy mess that takes more selections than ever to find what was once logically on one page. Can’t even pay from the mortgage page. Need to fire all the smart app designers and hire smart people. Why all companies feel the need to continually redesign UX and GUI is becoming infuriating. Find something better for your designers to do. Do they not have enough junk mail to design anymore?  Fire them and lower some of your gouging fees.,2,False,Social Ulcer,Awful design and organization,i only give a second star because you finally began providing data that should have been available in previous apps for years this version of the app is ridiculously confusing to navigate was a simple app to use and pay now is a text and ad for you own un desired products and services heavy mess that takes more selections than ever to find what was once logically on one page cant even pay from the mortgage page need to fire all the smart app designers and hire smart people why all companies feel the need to continually redesign ux and gui is becoming infuriating find something better for your designers to do do they not have enough junk mail to design anymore  fire them and lower some of your gouging fees
409,409,2022-06-01 11:35:50,"{'id': 25813506, 'body': 'Hi there, thanks for providing this feedback. We will be sure to share it with the Mobile team as they do appreciate insight on your mobile experience. Thanks again. -Tania', 'modified': '2021-10-21T13:39:48Z'}","As of June 1, 2022, even with the latest update the inefficiencies are still not corrected. Dropped from 3 to 2 stars.  Like most apps you want to just quickly get the job done and get out but this one isn’t designed with that in mind. When you hit next or previous, you must scroll all-the-way to the bottom again to go to next or previous. It can be very time consuming. You think twice before you ever hit the next button. Must you ask me to update my contact information EVERY single time I log in? It’s correct. I checked. Quit asking! On the plus side everything seems to work correctly without crashing. But it should be like that anyway, so no stars earned for that feature.",2,True,rtwileyrc,"STILL Inefficient, Quit asking for contact updates!!!",as of june 1 2022 even with the latest update the inefficiencies are still not corrected dropped from 3 to 2 stars  like most apps you want to just quickly get the job done and get out but this one isnt designed with that in mind when you hit next or previous you must scroll alltheway to the bottom again to go to next or previous it can be very time consuming you think twice before you ever hit the next button must you ask me to update my contact information every single time i log in its correct i checked quit asking on the plus side everything seems to work correctly without crashing but it should be like that anyway so no stars earned for that feature
413,413,2020-12-03 15:42:14,,"Having spent the past +20 years working in the financial industry with a deep appreciation for the need for tight security, I also understand that if the hurdles become too high, the user ends up not being able to reasonably use that technology. Take for instance the Wells Fargo banking app. Suddenly it wouldn’t accept my password. The verification process was absolutely ridiculous and the password acceptance was even worse (not accepting my choice even though they checked all of the green boxes because they included phrases). Add to it that Wells is the only financial app out of 10 that I use that still doesn’t employee face recognition and you have a horrible customer experience. I’ve had a relationship with Wells financial services for close to 20 years and if things do not change in the near future then I will close all of my accounts. GET WITH IT WELLS.",1,False,SendingOutAnSOS,Horrible experience...,having spent the past 20 years working in the financial industry with a deep appreciation for the need for tight security i also understand that if the hurdles become too high the user ends up not being able to reasonably use that technology take for instance the wells fargo banking app suddenly it wouldnt accept my password the verification process was absolutely ridiculous and the password acceptance was even worse not accepting my choice even though they checked all of the green boxes because they included phrases add to it that wells is the only financial app out of 10 that i use that still doesnt employee face recognition and you have a horrible customer experience ive had a relationship with wells financial services for close to 20 years and if things do not change in the near future then i will close all of my accounts get with it wells
414,414,2020-05-30 11:15:47,,"I have used your ap for years. Only since the corona virus have I had problems with your mobile deposit process🤨. Today I was told that I needed to use darker background , needed to sign properly, needed to have lower light, could not read account number, amount did not match, needed more light. All of these messages were received multiple times. This is not the time for me to have to leave my home and go to your bank location during a pandemic. I was persistent and finally after 15 minutes was able to process. Please fix!",5,False,&$!X!,Mobile Deposit problem,i have used your ap for years only since the corona virus have i had problems with your mobile deposit process today i was told that i needed to use darker background  needed to sign properly needed to have lower light could not read account number amount did not match needed more light all of these messages were received multiple times this is not the time for me to have to leave my home and go to your bank location during a pandemic i was persistent and finally after 15 minutes was able to process please fix
416,416,2018-01-23 17:24:32,,"I like the app but I would like a couple of things added. 
I would like to see a switch that would allow you to deduct pending balances from Bill Pay as soon as you make them. If I paid that bill that money is committed and should not be available. 
Would like to see a screen where I could list the check numbers and amounts. Deduct this from my balance and flagged when the check came with a paid flag on my list.
If the list of checks is being used and check is not listed you can flag with not listed check so I can check if I typed the wrong check number.
Thank you and God bless you!",5,False,Ugly delbert,User for app,"i like the app but i would like a couple of things added 
i would like to see a switch that would allow you to deduct pending balances from bill pay as soon as you make them if i paid that bill that money is committed and should not be available 
would like to see a screen where i could list the check numbers and amounts deduct this from my balance and flagged when the check came with a paid flag on my list
if the list of checks is being used and check is not listed you can flag with not listed check so i can check if i typed the wrong check number
thank you and god bless you"
417,417,2020-03-17 19:27:23,,"I am disappointed at the design of the newer bill pay options. 
In the “old” version, you were able to see the last payment & date of last payment without having to choose from a drop down box.
The current view of Bill Pay has a small drop down but only lists the last payment, not the date of last payment.  I try to schedule my payments around the same date as previous month. This is cumbersome to have to go to drop down at the far right of the payee line and choose “history” to see the dat of last payment.
Can you please add, the last payment date to the box displaying the last payment.",4,False,Aunt Ei Frances,Bill Pay,"i am disappointed at the design of the newer bill pay options 
in the old version you were able to see the last payment  date of last payment without having to choose from a drop down box
the current view of bill pay has a small drop down but only lists the last payment not the date of last payment  i try to schedule my payments around the same date as previous month this is cumbersome to have to go to drop down at the far right of the payee line and choose history to see the dat of last payment
can you please add the last payment date to the box displaying the last payment"
418,418,2024-05-30 08:58:37,,"Successful deposit checks and management with the ease of facial identity and to transfer a phones between organizations has made my life easier

They just could put me in a crowded bank virtually. I’d be all set. Now just put me in a crowded banks virtually, and the app would provide a host of social skills. Which I don’t think would be a benefit. The applications really help us avoid interacting with other people which I don’t necessarily feel is a good thing. Applications do you help us do more during our day as we need not spend as much time going from place to place.",5,False,JustTryingToUseHelp,Successful Transactions,"successful deposit checks and management with the ease of facial identity and to transfer a phones between organizations has made my life easier

they just could put me in a crowded bank virtually id be all set now just put me in a crowded banks virtually and the app would provide a host of social skills which i dont think would be a benefit the applications really help us avoid interacting with other people which i dont necessarily feel is a good thing applications do you help us do more during our day as we need not spend as much time going from place to place"
419,419,2023-06-13 10:57:03,"{'id': 37123147, 'body': 'Sorry for the inconvenience. Please email us the details of your mobile experience at appstorefeedback@wellsfargo.com. Include your reviewer name, full name, phone number, and link to this review. Do not share account numbers. -Suzette', 'modified': '2023-06-14T16:16:00Z'}","Overall, I like the apps. They do make bill pay easier than the website. However, I’ve noticed a few recent bugs…

For the iPad, I am unable to change the date when creating payments specifically for the lower section of my payees where I need to scroll down to get to the payee. The work around is to choose the current date. Then go back and modify the payment. Otherwise, the screen locks up, and I must close (swipe up) the app and relaunch.

For iPhone, the “new look” is awful. I would rather see everything in a list (top to bottom) than scroll side to side. There is also no way to dismiss a reminder now. Just annoying!",3,False,RKalata,Recent annoying bugs,"overall i like the apps they do make bill pay easier than the website however ive noticed a few recent bugs

for the ipad i am unable to change the date when creating payments specifically for the lower section of my payees where i need to scroll down to get to the payee the work around is to choose the current date then go back and modify the payment otherwise the screen locks up and i must close swipe up the app and relaunch

for iphone the new look is awful i would rather see everything in a list top to bottom than scroll side to side there is also no way to dismiss a reminder now just annoying"
421,421,2022-03-17 03:02:46,,"1. Zelle cannot be scheduled in advance as available in Chase.
2. Check view front and back, at the same time, is missing. Why?
3. Trade quote provided is delayed. Available even in yahoo finance. Why not WF Advisors?
4. Multiple order entry for stock trades are not there. Available in many free trade apps.
5. Calculator for max stocks possible to buy, based on balance and latest trade is not available. Available in free trade apps.
6. L2 order book of trades is available for apps like Webull. This shouldn’t be lacking in WF Advisors.
7. Difficult to get credit back into account from credit card usage. Put at the very last to make it difficult for customers. Cash credit should be a straight affair especially when 2% cash back is available for Citi Cash and it is easy.
8. Virtual card number creation for online trades, to reduce risk of fraud for customer and the bank, is not available. A great feature available in other accounts like Citi. Missing at WF cards.",5,False,Bonividi,Lack features,"1 zelle cannot be scheduled in advance as available in chase
2 check view front and back at the same time is missing why
3 trade quote provided is delayed available even in yahoo finance why not wf advisors
4 multiple order entry for stock trades are not there available in many free trade apps
5 calculator for max stocks possible to buy based on balance and latest trade is not available available in free trade apps
6 l2 order book of trades is available for apps like webull this shouldnt be lacking in wf advisors
7 difficult to get credit back into account from credit card usage put at the very last to make it difficult for customers cash credit should be a straight affair especially when 2 cash back is available for citi cash and it is easy
8 virtual card number creation for online trades to reduce risk of fraud for customer and the bank is not available a great feature available in other accounts like citi missing at wf cards"
424,424,2022-03-07 07:07:37,,"I don’t like the tabs clustered - it’s confusing and irritating to have to keep opening tabs.  It’s fine to organize them in a sequence like checking then savings then credit cards then loans but I want to see them all on one page. For example, on the front page of Accounts, it’s confusing to see a total dollar amount of checking and savings together - makes me think I have more in my checking Acct.  I have to open the tab to see the breakdown.  I want to see it all in one glance. Really hate the opening and closing of tabs.  Bad design.",5,False,Im irritatef,Don’t like tabs clustered,i dont like the tabs clustered  its confusing and irritating to have to keep opening tabs  its fine to organize them in a sequence like checking then savings then credit cards then loans but i want to see them all on one page for example on the front page of accounts its confusing to see a total dollar amount of checking and savings together  makes me think i have more in my checking acct  i have to open the tab to see the breakdown  i want to see it all in one glance really hate the opening and closing of tabs  bad design
425,425,2022-03-07 15:59:07,"{'id': 28459018, 'body': ""We're sorry to hear that and would like to\xa0try and\xa0help. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Aud"", 'modified': '2022-03-09T00:55:29Z'}","Setting up auto-pay on this app is a nightmare. It won’t let me select the first of the month as my desired date — I can only select the date I’m setting up the payment. So I have to wait until the first of the month to set it up. 

Meanwhile, this is the third or fourth time I’ve set up an auto-payment with Wells Fargo. Each time I do, I think it goes through but then I find out later that I’m late on my payment — the auto-payment was never set up. What?? Wildly frustrating. 

Nothing is intuitive about the UX of this app. Everything is hard to find, which is unnerving given it’s a financial app. 

When I called customer service to set up payments by phone (which I’ve had to do every time I’ve ever tried setting up payments with the app), the person was like a robot. She wouldn’t speak off script and sped through her lines so quickly I couldn’t understand her. When she told me the wrong payment amount I asked clarifying questions she said, “I’m just reading what’s on my screen” and didn’t try to problem-solve at all. 

At this point it seems like the best way to pay my mortgage each month is by check. I deeply wish my mortgage had never been sold to Wells Fargo.",1,False,reliablemortgagepayer,Really confusing UX,"setting up autopay on this app is a nightmare it wont let me select the first of the month as my desired date  i can only select the date im setting up the payment so i have to wait until the first of the month to set it up 

meanwhile this is the third or fourth time ive set up an autopayment with wells fargo each time i do i think it goes through but then i find out later that im late on my payment  the autopayment was never set up what wildly frustrating 

nothing is intuitive about the ux of this app everything is hard to find which is unnerving given its a financial app 

when i called customer service to set up payments by phone which ive had to do every time ive ever tried setting up payments with the app the person was like a robot she wouldnt speak off script and sped through her lines so quickly i couldnt understand her when she told me the wrong payment amount i asked clarifying questions she said im just reading whats on my screen and didnt try to problemsolve at all 

at this point it seems like the best way to pay my mortgage each month is by check i deeply wish my mortgage had never been sold to wells fargo"
427,427,2022-01-11 21:13:38,"{'id': 27731474, 'body': 'Thank you for sharing your feedback, we truly value your opinion. I can understand how frustrating this would be. I will be sure your feedback is forwarded for possible future enhancements. In the meantime, for online or app assistance, please call 1-800-956-4442. -Aud', 'modified': '2022-01-29T03:03:39Z'}","Did you use any data analytics before developing your menu system?  Your one click options are things I might do twice a year but other items like pay bills, which I use all the time, are buried three clicks deep.  My accounts list should populate without the plus sign and your whole CTAs are clunky.  Your design looks like someone developed it 10 years ago and you waste a lot of space with your ad containers.  Come on Wells Fargo, make some updates, use some data analytic, join this century. 

On the positive side, if you dig around enough, most functions are there and working.   The Face ID makes it easy to login and largely the app keeps me from ever needed to enter your banks.",3,False,catjjack,Needs Improvements,"did you use any data analytics before developing your menu system  your one click options are things i might do twice a year but other items like pay bills which i use all the time are buried three clicks deep  my accounts list should populate without the plus sign and your whole ctas are clunky  your design looks like someone developed it 10 years ago and you waste a lot of space with your ad containers  come on wells fargo make some updates use some data analytic join this century 

on the positive side if you dig around enough most functions are there and working   the face id makes it easy to login and largely the app keeps me from ever needed to enter your banks"
428,428,2020-10-01 18:06:54,,"Wells Fargo App is a very good one.  It’s very user friendly.  Easy to move from one service to the other without any problems.  I need to view my account balances, sent money in between accounts, make transfers to my account in another bank; I send money through Zelle;  make recurring transfers to my accounts, change amounts and dates as many times as I could.  All these I do on a regular basis and this App meets all my requirements.  Sometimes I even make a call to the bank while on the App so they can talk me through whatever problems I’m having. It’s an excellent App.",5,False,Loretta Balogun,Very User-friendly,wells fargo app is a very good one  its very user friendly  easy to move from one service to the other without any problems  i need to view my account balances sent money in between accounts make transfers to my account in another bank i send money through zelle  make recurring transfers to my accounts change amounts and dates as many times as i could  all these i do on a regular basis and this app meets all my requirements  sometimes i even make a call to the bank while on the app so they can talk me through whatever problems im having its an excellent app
429,429,2019-11-04 23:17:25,,"I have done business with Wells Fargo for many years. I trust them with my financial interests and I place a lot of faith in them looking out for my financial welfare. I am so pleased with the ease of doing business there that it would take some drastic measure to cause me to leave. I appreciate the staff at my local branch; they are highly professional in their actions, very knowledgeable of the banking industry, and they are so warm and friendly. I am always greeted by my first name; most banks don’t go to this level. I am comfortable with Wells Fargo and tell all my friends and neighbors at every opportunity. Thanks for all you do you take care of my financial needs!",5,False,PHRenner,My Go To Bank,i have done business with wells fargo for many years i trust them with my financial interests and i place a lot of faith in them looking out for my financial welfare i am so pleased with the ease of doing business there that it would take some drastic measure to cause me to leave i appreciate the staff at my local branch they are highly professional in their actions very knowledgeable of the banking industry and they are so warm and friendly i am always greeted by my first name most banks dont go to this level i am comfortable with wells fargo and tell all my friends and neighbors at every opportunity thanks for all you do you take care of my financial needs
431,431,2019-02-05 02:36:59,,"In terms of security, it is zero!!!! If you want your money to get stolen by fraudulent activities, then you are most welcome to open an account here. The worst thing is that they don’t pay attention and want proof from you why your account is being stolen. Their investigation section is annoying!
It is frustrating that you have an account for several years and you get an overdraft charge for an unauthorized transactions!!!! One of my wise decisions is closing my business and all accounts with this bank! I feel really sorry for having accounts with this cheap bank!  I wish I could rate wells forgo even minus 0!!!!!!!!",5,False,Ali Seena,Cheap bank!,"in terms of security it is zero if you want your money to get stolen by fraudulent activities then you are most welcome to open an account here the worst thing is that they dont pay attention and want proof from you why your account is being stolen their investigation section is annoying
it is frustrating that you have an account for several years and you get an overdraft charge for an unauthorized transactions one of my wise decisions is closing my business and all accounts with this bank i feel really sorry for having accounts with this cheap bank  i wish i could rate wells forgo even minus 0"
432,432,2018-06-29 16:50:20,,"Lately, I had a loss of a family member and I had to send money internationally. I had to make a few modifications to the bank which I needed to send the money to. The changes were made and no problem. The customer service was awesome. The bankers were extremely pleasant and friendly. I also had to go in because my Visa card was not working. They gave me a temporary one to use while the new was ordered. It worked just like they said it would as I had to use it while outside the country. Great job Wells Fargo. I’m really pleased. I have been a customer for 25 years. Thank you!!!!",5,False,Walteroor,Great work!!,lately i had a loss of a family member and i had to send money internationally i had to make a few modifications to the bank which i needed to send the money to the changes were made and no problem the customer service was awesome the bankers were extremely pleasant and friendly i also had to go in because my visa card was not working they gave me a temporary one to use while the new was ordered it worked just like they said it would as i had to use it while outside the country great job wells fargo im really pleased i have been a customer for 25 years thank you
434,434,2022-03-21 22:10:40,,"I waited to rate the new updated app. At first I was NOT a fan. After using it for a bit and re-learning it I am now a fan! It is less busy than before and easy to find what you need. At first finding the “remaining credit” was hard to find and I do wish that was on the first tab as it was but that is minor.
I had been a customer of a different bank and I hated it. They say they care about their customers but I found that to be far from the truth.
I have so far been extremely pleased with WF and now with the streamlined app.
BUT - Please Stay stay out of politics! 
Thank you",5,False,Arizona transplant,Streamlined,"i waited to rate the new updated app at first i was not a fan after using it for a bit and relearning it i am now a fan it is less busy than before and easy to find what you need at first finding the remaining credit was hard to find and i do wish that was on the first tab as it was but that is minor
i had been a customer of a different bank and i hated it they say they care about their customers but i found that to be far from the truth
i have so far been extremely pleased with wf and now with the streamlined app
but  please stay stay out of politics 
thank you"
436,436,2020-10-16 02:11:29,,"There’s really only one reason to download this app. That reason is so that you don’t have to physically take your checks to the bank. Except you do have to physically take your checks to the bank because the mobile deposit function almost never works! It refuses to capture or it says, “Use darker background,” even when I put the check on something black or it finally captures but then the app crashes. The few times it has worked for me, it has been after I’ve made multiple attempts, each resulting in me having to restart the app, re-sign in, and re-capture the images. It’s also irritating when you finally give up and physically go to the bank and annoyed, snooty tellers who don’t want to do their jobs condescendingly say, “Are you aware that you can do this on the mobile app?” YEAH I KNOW BUT IT NEVER WORKS!",1,False,LateAgainBoo,Mobile deposit never works,theres really only one reason to download this app that reason is so that you dont have to physically take your checks to the bank except you do have to physically take your checks to the bank because the mobile deposit function almost never works it refuses to capture or it says use darker background even when i put the check on something black or it finally captures but then the app crashes the few times it has worked for me it has been after ive made multiple attempts each resulting in me having to restart the app resign in and recapture the images its also irritating when you finally give up and physically go to the bank and annoyed snooty tellers who dont want to do their jobs condescendingly say are you aware that you can do this on the mobile app yeah i know but it never works
437,437,2019-09-10 03:17:10,,"Yes, I can complete most of my banking transactions with this app, Including depositing checks by just taking pictures of them in the app, as well as checking accounts balances, transferring money, using Zelle, and more. And that is the important part.

The annoying thing is that I have received Persistent alerts on the homepage that cannot easily be removed. I had to spend over an hour on the phone with tech-support because the instructions were so poor. Even the tech support person so they had these alerts and couldn’t get rid of them. Additionally, some of the menus are unclear.",5,False,mudhutnm,Great for banking but An annoying issue,"yes i can complete most of my banking transactions with this app including depositing checks by just taking pictures of them in the app as well as checking accounts balances transferring money using zelle and more and that is the important part

the annoying thing is that i have received persistent alerts on the homepage that cannot easily be removed i had to spend over an hour on the phone with techsupport because the instructions were so poor even the tech support person so they had these alerts and couldnt get rid of them additionally some of the menus are unclear"
438,438,2020-03-24 15:56:39,,"Most times I consult the app, it’s because of a billing problem from a internet, cell phone or other issue. When I need payment info I log in to both the app or website in addition to the service provider. By the time I reach someone, the bank has logged me out and when I return to it I have to log in again, leaving the chat window of the service provider and frequently return to a message saying I didn’t reply and chat is closed. If a person could designate the amount of time before auto log out it would be helpful. Or if the user could state leave me log in until I close my browser.",4,False,Paleo Schnauzer,Very helpful but has a single annoying feature,most times i consult the app its because of a billing problem from a internet cell phone or other issue when i need payment info i log in to both the app or website in addition to the service provider by the time i reach someone the bank has logged me out and when i return to it i have to log in again leaving the chat window of the service provider and frequently return to a message saying i didnt reply and chat is closed if a person could designate the amount of time before auto log out it would be helpful or if the user could state leave me log in until i close my browser
440,440,2023-01-18 06:00:06,"{'id': 34379476, 'body': ""We're sorry to hear that and want to look further into this. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Hanj\n"", 'modified': '2023-01-19T11:37:03Z'}","The last time I went to the walk up window, there were at least 12 people standing in line then someone came by and asked me if I could go to the ATM and do my business and I told him no, because I needed a counter check and then I waited about 20 minutes and got to the counter and one of the tellers had to go on break, so there were only two available to begin with. When I finally got up to the teller, they had to ring your bell, and get their supervisor to come over to help.I was very disappointed. There has got to be a better way",5,False,dmielke44,Walk up window,the last time i went to the walk up window there were at least 12 people standing in line then someone came by and asked me if i could go to the atm and do my business and i told him no because i needed a counter check and then i waited about 20 minutes and got to the counter and one of the tellers had to go on break so there were only two available to begin with when i finally got up to the teller they had to ring your bell and get their supervisor to come over to helpi was very disappointed there has got to be a better way
442,442,2022-03-05 12:29:39,"{'id': 28437217, 'body': ""We'd like to help. To determine what may be occurring with your account, please contact technical support at 1-800-956-4442 so they can look into this. -Anthony"", 'modified': '2022-03-08T01:18:26Z'}","The app used to be great. Easy to use, etc. Ever since they updated it I get automatically logged off in the middle of paying bills, transferring money, etc. I have to push the log in button literally about 10 times for it to work which is a pain, especially when I need to transfer money fast. Sometimes I get messages saying that certain features aren’t available such as transferring money, paying bills, etc. which never used to happen. I wish they would fix these things.",5,False,JD1114!,They should never have changed the app,the app used to be great easy to use etc ever since they updated it i get automatically logged off in the middle of paying bills transferring money etc i have to push the log in button literally about 10 times for it to work which is a pain especially when i need to transfer money fast sometimes i get messages saying that certain features arent available such as transferring money paying bills etc which never used to happen i wish they would fix these things
